[2026-06-25T22:43:42.888658] TPR | sufijo: — | ok (raw)
[2026-06-25T22:43:42.900735] CALN.SW | sufijo: — | ok (raw)
[2026-06-25T22:43:42.880955] BIRD | sufijo: — | ok (raw)
[2026-06-25T22:43:43.214947] 2331.T | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:43:43.393470] PNDORA.CO | sufijo: — | ok (raw)
[2026-06-25T22:43:43.398609] PAGEIND.NS | sufijo: — | ok (raw)
[2026-06-25T22:43:44.311677] 1910.HK | sufijo: — | ok (raw)
[2026-06-25T22:43:44.341875] HYMTF | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:44.334176] FOSL | sufijo: — | ok (raw)
[2026-06-25T22:43:44.364433] KIMTF | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:44.422728] SIG | sufijo: — | ok (raw)
[2026-06-25T22:43:44.706019] GM | sufijo: — | ok (raw)
[2026-06-25T22:43:44.793732] VOW3.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:44.888561] BMW.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:45.007678] TM | sufijo: — | ok (raw)
[2026-06-25T22:43:45.127139] STLA | sufijo: — | ok (raw)
[2026-06-25T22:43:45.303690] HMC.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:45.330902] F | sufijo: — | ok (raw)
[2026-06-25T22:43:45.331113] ZK | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:45.351022] MBG.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:45.484231] 7201.T | sufijo: — | ok (raw)
[2026-06-25T22:43:46.031703] HM B | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:43:46.320603] 7267.T | sufijo: — | ok (raw)
[2026-06-25T22:43:46.418030] 7269.T | sufijo: — | ok (raw)
[2026-06-25T22:43:46.869735] 1211.HK | sufijo: — | ok (raw)
[2026-06-25T22:43:46.869975] 7205 | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:46.870169] TATAMOTORS | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:46.962521] XPEV | sufijo: — | ok (raw)
[2026-06-25T22:43:46.943862] LI | sufijo: — | ok (raw)
[2026-06-25T22:43:46.967238] TSLA | sufijo: — | ok (raw)
[2026-06-25T22:43:46.992636] NIO | sufijo: — | ok (raw)
[2026-06-25T22:43:47.018112] RIVN | sufijo: — | ok (raw)
[2026-06-25T22:43:47.018278] REVG | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:47.038731] LCID | sufijo: — | ok (raw)
[2026-06-25T22:43:47.284024] LOT | sufijo: — | ok (raw)
[2026-06-25T22:43:47.457253] DTG | sufijo: — | ok (raw)
[2026-06-25T22:43:47.547477] PSNY | sufijo: — | ok (raw)
[2026-06-25T22:43:47.603955] BYDDY | sufijo: — | ok (raw)
[2026-06-25T22:43:47.822614] PCAR | sufijo: — | ok (raw)
[2026-06-25T22:43:48.319351] 8TRA.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:48.651468] NAV | sufijo: .V | ok
[2026-06-25T22:43:48.710592] CMI | sufijo: — | ok (raw)
[2026-06-25T22:43:48.733840] IVG.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:48.775038] WGO | sufijo: — | ok (raw)
[2026-06-25T22:43:48.820944] 7202.T | sufijo: — | ok (raw)
[2026-06-25T22:43:49.134924] THO | sufijo: — | ok (raw)
[2026-06-25T22:43:49.190031] CWH | sufijo: — | ok (raw)
[2026-06-25T22:43:49.265329] PATK | sufijo: — | ok (raw)
[2026-06-25T22:43:49.318515] HOG | sufijo: — | ok (raw)
[2026-06-25T22:43:49.335395] TRI.L | sufijo: — | ok (raw)
[2026-06-25T22:43:49.439803] LCII | sufijo: — | ok (raw)
[2026-06-25T22:43:49.648664] KTA.DE | sufijo: — | ok (raw)
[2026-06-25T22:43:50.340184] BAJAJ-AUTO.NS | sufijo: — | ok (raw)
[2026-06-25T22:43:50.415743] TVSMOTOR.NS | sufijo: — | ok (raw)
[2026-06-25T22:43:50.437929] 7272.T | sufijo: — | ok (raw)
[2026-06-25T22:43:50.848556] M&M.NS | sufijo: — | ok (raw)
[2026-06-25T22:43:50.877479] PIA.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:51.077661] HEROMOTOCO.NS | sufijo: — | ok (raw)
[2026-06-25T22:43:51.412112] LEA | sufijo: — | ok (raw)
[2026-06-25T22:43:51.438789] 7203.T | sufijo: — | ok (raw)
[2026-06-25T22:43:51.465380] APTV | sufijo: — | ok (raw)
[2026-06-25T22:43:51.559149] PII | sufijo: — | ok (raw)
[2026-06-25T22:43:51.583949] DOO | sufijo: — | ok (raw)
[2026-06-25T22:43:52.012030] MGA | sufijo: — | ok (raw)
[2026-06-25T22:43:52.277029] BWA | sufijo: — | ok (raw)
[2026-06-25T22:43:52.815934] VC | sufijo: — | ok (raw)
[2026-06-25T22:43:52.828590] FR | sufijo: — | ok (raw)
[2026-06-25T22:43:52.848848] 6902.T | sufijo: — | ok (raw)
[2026-06-25T22:43:52.891405] 7259.T | sufijo: — | ok (raw)
[2026-06-25T22:43:52.928920] FRVIA.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:53.041899] MBLY | sufijo: — | ok (raw)
[2026-06-25T22:43:53.150989] ALV | sufijo: — | ok (raw)
[2026-06-25T22:43:53.396316] GPC | sufijo: — | ok (raw)
[2026-06-25T22:43:53.465992] VOLV B | sufijo: — | no encontrado — sin sufijo conocido
[2026-06-25T22:43:53.719431] LKQ | sufijo: — | ok (raw)
[2026-06-25T22:43:53.814981] MPAA | sufijo: — | ok (raw)
[2026-06-25T22:43:53.894923] SMP | sufijo: — | ok (raw)
[2026-06-25T22:43:53.914950] MNRO | sufijo: — | ok (raw)
[2026-06-25T22:43:53.925487] DORM | sufijo: — | ok (raw)
[2026-06-25T22:43:54.432818] VVV | sufijo: — | ok (raw)
[2026-06-25T22:43:54.576653] AAP.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:54.587686] ORLY | sufijo: — | ok (raw)
[2026-06-25T22:43:54.666281] AZO | sufijo: — | ok (raw)
[2026-06-25T22:43:54.800044] ML.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:54.829622] DRVN | sufijo: — | ok (raw)
[2026-06-25T22:43:54.969503] GT | sufijo: — | ok (raw)
[2026-06-25T22:43:55.113303] PIRC.MI | sufijo: — | ok (raw)
[2026-06-25T22:43:55.152767] CON | sufijo: — | ok (raw)
[2026-06-25T22:43:55.286814] 5108.T | sufijo: — | ok (raw)
[2026-06-25T22:43:55.756238] 096770.KS | sufijo: — | ok (raw)
[2026-06-25T22:43:55.756344] PCRFY | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:55.903845] BAM | sufijo: — | ok (raw)
[2026-06-25T22:43:56.045692] 5110.T | sufijo: — | ok (raw)
[2026-06-25T22:43:56.123380] 161390.KS | sufijo: — | ok (raw)
[2026-06-25T22:43:56.255515] 5101.T | sufijo: — | ok (raw)
[2026-06-25T22:43:56.299731] 300750.SZ | sufijo: — | ok (raw)
[2026-06-25T22:43:56.433043] 006400.KS | sufijo: — | ok (raw)
[2026-06-25T22:43:56.481166] ALB | sufijo: — | ok (raw)
[2026-06-25T22:43:56.699780] THRM | sufijo: — | ok (raw)
[2026-06-25T22:43:56.845405] QS | sufijo: — | ok (raw)
[2026-06-25T22:43:56.895156] 373220.KS | sufijo: — | ok (raw)
[2026-06-25T22:43:56.973824] ENVX | sufijo: — | ok (raw)
[2026-06-25T22:43:56.973927] 291 | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:57.007691] 6752.T | sufijo: — | ok (raw)
[2026-06-25T22:43:57.333611] FREY.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:57.356318] SLDP | sufijo: — | ok (raw)
[2026-06-25T22:43:58.044985] MEKO.ST | sufijo: — | ok (raw)
[2026-06-25T22:43:58.219680] HEIA.VI | sufijo: — | ok (raw)
[2026-06-25T22:43:58.282634] BUD | sufijo: — | ok (raw)
[2026-06-25T22:43:58.525891] TAP.L | sufijo: — | ok (raw)
[2026-06-25T22:43:58.567964] BAP | sufijo: — | ok (raw)
[2026-06-25T22:43:58.636751] 2503.HK | sufijo: — | ok (raw)
[2026-06-25T22:43:58.701144] TWE.AX | sufijo: — | ok (raw)
[2026-06-25T22:43:58.703471] STZ.PA | sufijo: — | ok (raw)
[2026-06-25T22:43:58.967715] 0168.HK | sufijo: — | ok (raw)
[2026-06-25T22:43:58.967816] BF.B | sufijo: — | ignorado — no resoluble
[2026-06-25T22:43:59.101583] IWB | sufijo: — | ok (raw)
[2026-06-25T22:43:59.136608] MASI.MI | sufijo: — | ok (raw)
[2026-06-25T22:43:59.215788] NAPA.OL | sufijo: — | ok (raw)
[2026-06-25T22:44:00.529626] VWE | sufijo: .V | ok
[2026-06-25T22:44:00.704018] LAUR | sufijo: — | ok (raw)
[2026-06-25T22:44:00.706522] VCO | sufijo: — | ok (raw)
[2026-06-25T22:44:00.836849] ALLAN.PA | sufijo: — | ok (raw)
[2026-06-25T22:44:00.891529] WVVI | sufijo: — | ok (raw)
[2026-06-25T22:44:00.928789] DEO | sufijo: — | ok (raw)
[2026-06-25T22:44:01.280263] CPR.MI | sufijo: — | ok (raw)
[2026-06-25T22:44:01.302321] MGPI | sufijo: — | ok (raw)
[2026-06-25T22:44:01.335308] RI.PA | sufijo: — | ok (raw)
[2026-06-25T22:44:01.906552] RCO.PA | sufijo: — | ok (raw)
[2026-06-25T22:44:01.906732] AKO.B | sufijo: — | ignorado — no resoluble
[2026-06-25T22:44:02.421964] Y92.SI | sufijo: — | ok (raw)
